Dataset,Config,Machine,TrainTime,F1
Synthetic_DS2,TranAD_Scratch,entity_0200,2.6728692054748535,0.8050314415837982
Synthetic_DS2,TranAD_Scratch,entity_0201,1.7713196277618408,0.8016194281571573
Synthetic_DS2,TranAD_Scratch,entity_0202,1.7645246982574463,0.7538461490331363
Synthetic_DS2,TranAD_Scratch,entity_0203,1.769510269165039,0.5230769179976332
Synthetic_DS2,TranAD_Scratch,entity_0204,1.765230417251587,0.7179487129112158
Synthetic_DS2,TranAD_Scratch,entity_0205,1.7704260349273682,0.7096774146999655
Synthetic_DS2,TranAD_Scratch,entity_0206,1.7784442901611328,0.6428571378380105
Synthetic_DS2,TranAD_Scratch,entity_0207,1.7724642753601074,0.7717391255216213
Synthetic_DS2,TranAD_Scratch,entity_0208,1.7901394367218018,0.674846620864918
Synthetic_DS2,TranAD_Scratch,entity_0209,1.7863245010375977,0.894545449536
Synthetic_DS2,TranAD_Scratch,entity_0210,1.7708063125610352,0.7322404324082534
Synthetic_DS2,TranAD_Scratch,entity_0211,1.7915358543395996,0.6557377004031175
Synthetic_DS2,TranAD_Scratch,entity_0212,1.7972023487091064,0.8322981315859729
Synthetic_DS2,TranAD_Scratch,entity_0213,1.7857959270477295,0.7272727225619836
Synthetic_DS2,TranAD_Scratch,entity_0214,1.7879767417907715,0.8032128464637667
Synthetic_DS2,TranAD_Scratch,entity_0215,1.7945079803466797,0.7777777729382717
Synthetic_DS2,TranAD_Scratch,entity_0216,1.772075891494751,0.7860696467404273
Synthetic_DS2,TranAD_Scratch,entity_0217,1.7767210006713867,0.8064516078448377
Synthetic_DS2,TranAD_Scratch,entity_0218,1.7765109539031982,0.8072727222193719
Synthetic_DS2,TranAD_Scratch,entity_0219,1.7794086933135986,0.8361581871301351
Synthetic_DS2,TranAD_Scratch,entity_0220,1.789163589477539,0.6363636313493001
Synthetic_DS2,TranAD_Scratch,entity_0221,1.7736849784851074,0.7133757912142481
Synthetic_DS2,TranAD_Scratch,entity_0222,1.7833998203277588,0.7914438454002116
Synthetic_DS2,TranAD_Scratch,entity_0223,1.8020219802856445,0.8101265772912996
Synthetic_DS2,TranAD_Scratch,entity_0224,1.7827651500701904,0.8226415043804913
Synthetic_DS2,TranAD_Scratch,entity_0225,1.7786273956298828,0.8023255764974312
Synthetic_DS2,TranAD_Scratch,entity_0226,1.7828269004821777,0.5241379270944114
Synthetic_DS2,TranAD_Scratch,entity_0227,1.7809083461761475,0.8559999949318401
Synthetic_DS2,TranAD_Scratch,entity_0228,1.8001899719238281,0.6309523759226191
Synthetic_DS2,TranAD_Scratch,entity_0229,1.7756505012512207,0.8169014035416255
Synthetic_DS2,TranAD_Scratch,entity_0230,1.7724628448486328,0.8152173862535445
Synthetic_DS2,TranAD_Scratch,entity_0231,1.776923656463623,0.8535031797119559
Synthetic_DS2,TranAD_Scratch,entity_0232,1.7775118350982666,0.7419354789784947
Synthetic_DS2,TranAD_Scratch,entity_0233,1.7926459312438965,0.8502024240875937
Synthetic_DS2,TranAD_Scratch,entity_0234,1.7770462036132812,0.5363984623954435
Synthetic_DS2,TranAD_Scratch,entity_0235,1.7780680656433105,0.8554216817027147
Synthetic_DS2,TranAD_Scratch,entity_0236,1.7866630554199219,0.705128200472551
Synthetic_DS2,TranAD_Scratch,entity_0237,1.7697398662567139,0.7737704867646332
Synthetic_DS2,TranAD_Scratch,entity_0238,1.7701480388641357,0.796610164563344
Synthetic_DS2,TranAD_Scratch,entity_0239,1.7876315116882324,0.6557377000973454
Synthetic_DS2,TranAD_Scratch,entity_0240,1.7874784469604492,0.5999999957454546
Synthetic_DS2,TranAD_Scratch,entity_0241,1.7756798267364502,0.6405228707693623
Synthetic_DS2,TranAD_Scratch,entity_0242,1.7934224605560303,0.8176795529464914
